resc,labelDe,labelEn
"http://dbpedia.org/resource/Merville,_Haute-Garonne",Merville (Haute-Garonne),Merville
"http://dbpedia.org/resource/Merville,_Nord",Merville (Nord),Merville
"http://dbpedia.org/resource/Merville,_Nord",Merville (Nord),Meregem
http://dbpedia.org/resource/Metro_Cagayan_de_Oro,Metro Cagayan de Oro,Metro Cagayan de Oro
"http://dbpedia.org/resource/Mokko,_Niger",Mokko,"Mokko, Niger"
http://dbpedia.org/resource/Montereau-sur-le-Jard,Montereau-sur-le-Jard,Montereau-sur-le-Jard
http://dbpedia.org/resource/Monts-Valin_National_Park,Parc national des Monts-Valin,Monts-Valin National Park
"http://dbpedia.org/resource/Mud,_Iran",Mud (Stadt),Mud
http://dbpedia.org/resource/Mueang_Sisaket_District,Amphoe Mueang Si Sa Ket,Mueang Sisaket
http://dbpedia.org/resource/Mueang_Sisaket_District,Amphoe Mueang Si Sa Ket,เมืองศรีสะเกษ
http://dbpedia.org/resource/Muri_Abbey,Kloster Muri,Muri Abbey
http://dbpedia.org/resource/NQ_Vulpeculae,NQ Vulpeculae,NQ Vulpeculae
http://dbpedia.org/resource/Nandgaon_State,Nandgaon,Nandgaon
http://dbpedia.org/resource/Nandgaon_State,Nandgaon,Nandgaon State
http://dbpedia.org/resource/Nandgaon_State,Nandgaon,नांदगाँव रियासत
"http://dbpedia.org/resource/National_Archaeological_Museum,_Tirana",Archäologisches Nationalmuseum (Tirana),National Archaeological Museum
http://dbpedia.org/resource/National_Archaeological_Museum_(Bulgaria),Nationales Archäologisches Museum (Sofia),(Национален археологически институт с музей при Българска академия на науките)
http://dbpedia.org/resource/National_Archaeological_Museum_(Bulgaria),Nationales Archäologisches Museum (Sofia),National Institute of Archaeology with Museum in Bulgarian Academy of Sciences
http://dbpedia.org/resource/National_Archaeological_Museum_(Florence),Archäologisches Nationalmuseum Florenz,National Archaeological Museum of Florence
http://dbpedia.org/resource/National_Archaeological_Museum_(Florence),Archäologisches Nationalmuseum Florenz,Museo archeologico nazionale di Firenze
"http://dbpedia.org/resource/Njala,_Moyamba",Njala,Njala
http://dbpedia.org/resource/Němčice_(Blansko_District),Němčice u Boskovic,Němčice
http://dbpedia.org/resource/Němčice_(Domažlice_District),Němčice u Kdyně,Němčice
http://dbpedia.org/resource/Němčice_(Kroměříž_District),Němčice u Holešova,Němčice
http://dbpedia.org/resource/Němčice_(Prachatice_District),Němčice u Netolic,Němčice
http://dbpedia.org/resource/Němčice_(Strakonice_District),Němčice u Volyně,Němčice
http://dbpedia.org/resource/Němčice_nad_Hanou,Němčice nad Hanou,Němčice nad Hanou
"http://dbpedia.org/resource/Olmedo,_Sardinia",Olmedo (Sardinien),Olmedo
"http://dbpedia.org/resource/Olmedo,_Sardinia",Olmedo (Sardinien),Comune di Olmedo
http://dbpedia.org/resource/Pers-Jussy,Pers-Jussy,Pers-Jussy
http://dbpedia.org/resource/Phan_District,Amphoe Phan,Phan
http://dbpedia.org/resource/Phan_District,Amphoe Phan,พาน
"http://dbpedia.org/resource/Piotrowice,_Kłodzko_County",Piotrowice (Bystrzyca Kłodzka),Piotrowice
